Type,Scam Type,Archetype,Dimension,Attribute
Victim,GOIS,Impulsive Risk-Taker,Situational,I was told I had to pay the 'fine' immediately to prevent my case from escalating so I did.
Victim,Phishing,Authority-Deferential,Dispositional,I believe it's my duty to follow security instructions from my bank.
Victim,Phishing,Authority-Deferential,Experiential,My company has strict IT security policies. I've been trained to respond to official-looking security requests.
Victim,Phishing,Authority-Deferential,Situational,The email warned that ignoring the alert would violate the terms of service so I felt obligated to comply.
Victim,Phishing,Emotionally Vulnerable,Dispositional,I get anxious about technology and IT security.
Victim,Phishing,Emotionally Vulnerable,Experiential,I live alone and don't have anyone I can quickly ask if an email looks suspicious.
Victim,Phishing,Emotionally Vulnerable,Situational,I felt a wave of panic when I read the email subject line: 'URGENT: Security Breach on Your Account.'
Victim,Phishing,Emotionally Vulnerable,Situational,I panicked when I got an email saying my account was compromised.
Victim,Phishing,Highly Trusting,Dispositional,If an email looks like it's from a company I use like my bank or Netflix I assume it's legitimate.
Victim,Phishing,Highly Trusting,Dispositional,I assume emails from familiar company names are always legitimate.
Victim,Phishing,Highly Trusting,Experiential,I've never been taught how to identify a phishing email.
Victim,Phishing,Highly Trusting,Experiential,I've never been taught how to spot the technical signs of a phishing email like checking the sender's full address.
Victim,Phishing,Highly Trusting,Situational,The email used my full name and had the company's logo so I had no reason to doubt it was real.
Victim,Phishing,Impulsive Risk-Taker,Dispositional,I prefer to deal with problems immediately and get them over with.
Victim,Phishing,Impulsive Risk-Taker,Experiential,I get so many emails a day that I often click through them quickly without carefully reading each one.
Victim,Phishing,Impulsive Risk-Taker,Experiential,I use my smartphone for most of my emails. It's harder to spot suspicious details on a small screen.
Victim,Phishing,Impulsive Risk-Taker,Situational,I clicked the link in the email immediately to solve the problem.
Victim,Phishing,Impulsive Risk-Taker,Situational,The email said my account would be suspended soon so I clicked the link right away.
Victim,Phishing,Impulsive Risk-Taker,Experiential,I'm always online and get so many notifications every day that I often just react to them without thinking.
Victim,Phishing,Highly Trusting,Dispositional,I'm a fairly open and social person. I don't immediately get suspicious when I receive unexpected messages or requests.
Victim,Phishing,Highly Trusting,Experiential,My friends and I share links on social media all the time. I automatically trust links that seem to come from people I know.
Victim,Romance,Emotionally Vulnerable,Dispositional,I'm lonely and was seeking a deep connection.
Victim,Romance,Emotionally Vulnerable,Situational,He said he was in trouble and my heart went out to him.
Victim,Romance,Highly Trusting,Dispositional,I believe in true love and that my partner is perfect for me.
Victim,Romance,Highly Trusting,Experiential,I put my partner on a pedestal and ignored my friends' warnings.
Victim,Romance,Impulsive Risk-Taker,Dispositional,I have an addictive personality and get deeply invested in relationships.
Victim,Romance,Impulsive Risk-Taker,Situational,I sent him money for a medical emergency without verifying his story.
Officer,All,Detached and Minimizing,Dispositional,I've handled so many of these cases that I find it hard to feel anything anymore.
Officer,All,Task-Focused and Procedural,Experiential,I just follow the checklist step by step every time to make sure I don't get anything wrong.
Officer,All,Supportive and Empathetic,Dispositional,I communicate with authority to reassure the victim that they are now safe.
Officer,All,Supportive and Empathetic,Dispositional,I remain calm and patient even when the victim is distressed.
Officer,All,Supportive and Empathetic,Dispositional,I use clear jargon-free language to explain the scam mechanism.
Officer,All,Detached and Minimizing,Experiential,I hear this same story every day. It doesn't affect me anymore.
Officer,All,Supportive and Empathetic,Dispositional,I see the victim is in distress. My first job is to be patient and non-judgmental to show them they are in a safe place now.
Officer,All,Supportive and Empathetic,Situational,I want to be very clear that the person who did this is the criminal. I will remind the victim that they did nothing to deserve this.
Officer,All,Supportive and Empathetic,Situational,I always provide the victim with resources for emotional and financial support.
Officer,All,Task-Focused and Procedural,Situational,I focus on gathering actionable intelligence like transaction details.
Officer,All,Detached and Minimizing,Situational,I'd rather they just fill out the form quickly and move on.
Officer,All,Supportive and Empathetic,Dispositional,I have a calm demeanor.
Officer,All,Supportive and Empathetic,Experiential,Part of my job is knowing which support services can help with the financial and emotional recovery. I provide that list to every victim.
Officer,All,Task-Focused and Procedural,Experiential,I am trained to recognize the signs of emotional manipulation in fraud cases.
Officer,All,Task-Focused and Procedural,Experiential,I understand the psychological impact of fraud extends beyond financial loss.
Officer,All,Task-Focused and Procedural,Experiential,My experience allows me to quickly identify the specific type of scam involved.
Officer,All,Detached and Minimizing,Dispositional,I find it hard to believe people still fall for things like this.
Officer,All,Detached and Minimizing,Dispositional,I think there's little we can do. These scams are always overseas.
Officer,All,Task-Focused and Procedural,Experiential,I usually just get to the point when collecting information. Nothing else really matters.
Officer,All,Detached and Minimizing,Dispositional,I think they should've known better. It seems careless to fall for this.
Officer,All,Supportive and Empathetic,Situational,I use my tone and uniform to take control and help the victim feel safe again.
Officer,All,Supportive and Empathetic,Experiential,I understand that victims of impersonation scams are reacting to fear and authority. My training is to immediately dismantle that fear.
Officer,All,Task-Focused and Procedural,Experiential,I am familiar with the typologies of online scams. This allows me to ask specific targeted questions about scams.
Officer,All,Task-Focused and Procedural,Situational,I ensure that the victim does not experience further harm by first securing their bank accounts. I will ask them to contact the banks.
Officer,All,Supportive and Empathetic,Experiential,My training on victim vulnerability enables me to listen to their story with compassion not skepticism.
Officer,All,Supportive and Empathetic,Situational,I know reporting this is difficult and feels overwhelming. I can help the victim take one step at a time.
